task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
face,exact match dist,exact match eval,MAS,0.8921232876712328,0.8921561243607623,0.8921561243607623,0.0,,0.55,var0.05
face,exact match dist,exact match eval,BAU,0.6027397260273972,0.6024385042012357,0.6024385042012356,0.0,,0.55,var0.05
face,exact match dist,exact match eval,SAD,0.886986301369863,0.8869204139507466,0.8869204139507468,0.0,,0.55,var0.05
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.55,var0.05
face,exact match dist,exact match eval,DEM,0.9023972602739726,0.9024196720471351,0.9024196720471352,0.0,,0.55,var0.05
face,exact match dist,exact match eval,RANDOM,0.5462328767123288,0.5441228104874767,0.5441228104874768,0.0,,0.55,var0.05
face,exact match dist,exact match eval,MAS,0.9674657534246576,0.9675188876658973,0.9675188876658973,0.0,,0.65,var0.05
face,exact match dist,exact match eval,BAU,0.7123287671232876,0.7123795636826626,0.7123795636826628,0.0,,0.65,var0.05
face,exact match dist,exact match eval,SAD,0.9657534246575342,0.9657585884233655,0.9657585884233654,0.0,,0.65,var0.05
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.05
face,exact match dist,exact match eval,DEM,0.9383561643835616,0.9383165122825248,0.9383165122825248,0.0,,0.65,var0.05
face,exact match dist,exact match eval,RANDOM,0.6541095890410958,0.6539071508850868,0.6539071508850868,0.0,,0.65,var0.05
face,exact match dist,exact match eval,MAS,0.738013698630137,0.7384821453801038,0.7384821453801038,0.0,,0.45,var0.05
face,exact match dist,exact match eval,BAU,0.4948630136986301,0.4948423586458718,0.4948423586458718,0.0,,0.45,var0.05
face,exact match dist,exact match eval,SAD,0.7311643835616438,0.7308380496443356,0.7308380496443356,0.0,,0.45,var0.05
face,exact match dist,exact match eval,ORACLE,0.9982876712328768,0.9982876511499712,0.9982876511499713,0.0,,0.45,var0.05
face,exact match dist,exact match eval,DEM,0.7363013698630136,0.7361254089680763,0.7361254089680764,0.0,,0.45,var0.05
face,exact match dist,exact match eval,RANDOM,0.4674657534246575,0.4674180636029928,0.4674180636029928,0.0,,0.45,var0.05
face,exact match dist,exact match eval,MAS,0.8681506849315068,0.8683824541178459,0.868382454117846,0.0,,0.55,var0.15
face,exact match dist,exact match eval,BAU,0.7037671232876712,0.7038943222118583,0.7038943222118583,0.0,,0.55,var0.15
face,exact match dist,exact match eval,SAD,0.8476027397260274,0.8475489851411165,0.8475489851411165,0.0,,0.55,var0.15
face,exact match dist,exact match eval,ORACLE,0.9948630136986302,0.9948628329468279,0.994862832946828,0.0,,0.55,var0.15
face,exact match dist,exact match eval,DEM,0.8458904109589042,0.8462239489022849,0.846223948902285,0.0,,0.55,var0.15
face,exact match dist,exact match eval,RANDOM,0.553082191780822,0.5533638510779159,0.5533638510779157,0.0,,0.55,var0.15
face,exact match dist,exact match eval,MAS,0.9726027397260274,0.9726223385314058,0.9726223385314058,0.0,,0.65,var0.15
face,exact match dist,exact match eval,BAU,0.8732876712328768,0.8732426151669188,0.8732426151669189,0.0,,0.65,var0.15
face,exact match dist,exact match eval,SAD,0.9657534246575342,0.9657964443383844,0.9657964443383845,0.0,,0.65,var0.15
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.15
face,exact match dist,exact match eval,DEM,0.9726027397260274,0.9725691725188618,0.9725691725188618,0.0,,0.65,var0.15
face,exact match dist,exact match eval,RANDOM,0.6712328767123288,0.6705671769393984,0.6705671769393983,0.0,,0.65,var0.15
face,exact match dist,exact match eval,MAS,0.7636986301369864,0.7636654242614508,0.7636654242614508,0.0,,0.45,var0.15
face,exact match dist,exact match eval,BAU,0.702054794520548,0.7011174555755246,0.7011174555755246,0.0,,0.45,var0.15
face,exact match dist,exact match eval,SAD,0.7226027397260274,0.7230353101052742,0.7230353101052742,0.0,,0.45,var0.15
face,exact match dist,exact match eval,ORACLE,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.0,,0.45,var0.15
face,exact match dist,exact match eval,DEM,0.7328767123287672,0.7331897132885976,0.7331897132885976,0.0,,0.45,var0.15
face,exact match dist,exact match eval,RANDOM,0.4263698630136986,0.42615264403070374,0.42615264403070374,0.0,,0.45,var0.15
face,exact match dist,exact match eval,MAS,0.952054794520548,0.9520840096946828,0.9520840096946827,0.0,,0.55,var0.25
face,exact match dist,exact match eval,BAU,0.8493150684931506,0.8494936648573947,0.8494936648573947,0.0,,0.55,var0.25
face,exact match dist,exact match eval,SAD,0.886986301369863,0.8868626127251952,0.8868626127251952,0.0,,0.55,var0.25
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.55,var0.25
face,exact match dist,exact match eval,DEM,0.9092465753424658,0.9092778157641495,0.9092778157641497,0.0,,0.55,var0.25
face,exact match dist,exact match eval,RANDOM,0.571917808219178,0.5711761263848358,0.5711761263848357,0.0,,0.55,var0.25
face,exact match dist,exact match eval,MAS,1.0,1.0,1.0,0.0,,0.65,var0.25
face,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,,0.65,var0.25
face,exact match dist,exact match eval,SAD,0.9914383561643836,0.9914204819573742,0.9914204819573743,0.0,,0.65,var0.25
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.25
face,exact match dist,exact match eval,DEM,0.9811643835616438,0.9811868291116219,0.9811868291116218,0.0,,0.65,var0.25
face,exact match dist,exact match eval,RANDOM,0.7191780821917808,0.7191281611687264,0.7191281611687264,0.0,,0.65,var0.25
face,exact match dist,exact match eval,MAS,0.9982876712328768,0.9982876511499712,0.9982876511499713,0.0,,0.45,var0.25
face,exact match dist,exact match eval,BAU,1.0,1.0,1.0,0.0,,0.45,var0.25
face,exact match dist,exact match eval,SAD,0.8852739726027398,0.8848666563695081,0.8848666563695081,0.0,,0.45,var0.25
face,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.45,var0.25
face,exact match dist,exact match eval,DEM,0.922945205479452,0.922771517377528,0.9227715173775279,0.0,,0.45,var0.25
face,exact match dist,exact match eval,RANDOM,0.535958904109589,0.5363113108811176,0.5363113108811175,0.0,,0.45,var0.25
face,exact match dist,exact match eval,MAS,0.8065068493150684,0.8063486479617875,0.8063486479617875,0.0,,0.5,var0.05
face,exact match dist,exact match eval,BAU,0.5428082191780822,0.542184265010352,0.542184265010352,0.0,,0.5,var0.05
